"county_name","state_name","x","countyFIPS","per_dem.x","per_gop.x","per_dem.y","per_gop.y","gop_vote_share_change","County Name","State.x","covid_deaths","pop_2019","pop_thousand","deaths_per_thousand","PUBASELINE","PU31102020","PU_change","old_percent","dummy_2016","dummy_old"
"Abbeville County","South Carolina",7315,45001,0.346139500186,0.628683327117,0.329847985200676,0.660741574841149,0.0320582477241486,"Abbeville County ","SC",17,24527,24.527,0.693113711420068,2.81,3.75,0.94,0.298242752884576,1,1
"Acadia Parish","Louisiana",13766,22001,0.205871613233,0.77262104725,0.191486367634125,0.794934036939314,0.0223129896893139,"Acadia Parish ","LA",101,62045,62.045,1.62785075348537,3.94,6.79,2.85,0.221871222499799,1,0
"Accomack County","Virginia",10696,51001,0.42761028245,0.544715963186,0.446763353378139,0.540738120504657,-0.0039778426813426,"Accomack County ","VA",19,32316,32.316,0.587944052481743,3.06,3.99,0.93,0.330981557123406,1,1
"Ada County","Idaho",100357,16001,0.386917330906,0.479316109966,0.464703591902509,0.503872562059301,0.0245564520933009,"Ada County ","ID",180,481587,481.587,0.37376424197497,2.29,2.37,0.0800000000000001,0.208388100177123,0,0
"Adair County","Iowa",2205,19001,0.299813780261,0.653365256717,0.286808714388317,0.698348096720134,0.0449828400031341,"Adair County ","IA",1,7152,7.152,0.139821029082774,1.89,1.94,0.05,0.308305369127517,1,1
"Adair County","Kentucky",4989,21001,0.16079241614,0.806635877491,0.158759124087591,0.829835766423358,0.0231998889323577,"Adair County ","KY",22,19202,19.202,1.14571398812624,4.63,5.16,0.53,0.2598166857619,1,0
"Adair County","Missouri",5118,29001,0.344776561113,0.593765413831,0.358939628482972,0.620452786377709,0.0266873725467089,"Adair County ","MO",0,25343,25.343,0,2.83,3.81,0.98,0.201949256204869,1,0
"Adair County","Oklahoma",4831,40001,0.212430426716,0.734848484848,0.195132245357344,0.785734383792909,0.0508858989449094,"Adair County ","OK",11,22194,22.194,0.495629449400739,3.36,4.42,1.06,0.21767144273227,1,0
"Adams County","Colorado",81834,8001,0.493767309065,0.42145324768,0.566887025577122,0.404067839567449,-0.0173854081125511,"Adams County ","CO",262,517421,517.421,0.506357492254856,3.1,4.57,1.47,0.158157477180091,0,0
"Adams County","Idaho",1805,16003,0.190105359597,0.712780577187,0.228538283062645,0.750580046403712,0.0377994692167123,"Adams County ","ID",2,4294,4.294,0.465766185374942,9.93,9.93,0,0.420353982300885,1,1
"Adams County","Illinois",18023,17001,0.240258105131,0.715517784073,0.257493960091866,0.722402839502491,0.00688505542949047,"Adams County ","IL",24,65435,65.435,0.366776190112325,3.65,6.15,2.5,0.275433636433102,1,1
"Adams County","Indiana",7742,18001,0.214893780198,0.739473886034,0.227742979801534,0.752058554437328,0.0125846684033285,"Adams County ","IN",9,35777,35.777,0.251558263688962,2.38,4.48,2.1,0.216396008608883,1,0
"Adams County","Iowa",1161,19003,0.271373679155,0.66906820365,0.273148148148148,0.708333333333333,0.0392651296833334,"Adams County ","IA",1,3602,3.602,0.277623542476402,1.48,1.48,0,0.322320932815103,1,1
"Adams County","Mississippi",8375,28001,0.566644833797,0.41960045849,0.57540518933062,0.413983574387674,-0.00561688410232647,"Adams County ","MS",45,30693,30.693,1.46613234287948,5.78,7.26,1.48,0.272863519369237,0,1
"Adams County","Nebraska",8005,31001,0.24840570908,0.698830853325,0.287517914420255,0.688254964853614,-0.0105758884713864,"Adams County ","NE",15,31363,31.363,0.478270573605841,2.69,3.42,0.73,0.255237062780984,1,0
"Adams County","North Dakota",826,38001,0.179104477612,0.749585406302,0.203309692671395,0.773049645390071,0.0234642390880709,"Adams County ","ND",0,2216,2.216,0,1.95,1.95,0,0.372743682310469,1,1
"Adams County","Ohio",7142,39001,0.207267468137,0.763355328573,0.177521613832853,0.812680115273775,0.0493247867007752,"Adams County ","OH",6,27698,27.698,0.216622138782584,6.1,6.58,0.48,0.257852552530869,1,0
"Adams County","Pennsylvania",29423,42001,0.298633798634,0.662925877212,0.321031843989138,0.661617942659661,-0.00130793455233924,"Adams County ","PA",31,103009,103.009,0.300944577658263,2.43,5.6,3.17,0.285635235756099,1,1
"Adams County","Washington",3210,53001,0.273952462632,0.67140406763,0.309450699419993,0.666496076424429,-0.0049079912055715,"Adams County ","WA",11,19983,19.983,0.550467897713056,6.28,6.94,0.66,0.160636541059901,1,0
"Adams County","Wisconsin",8171,55001,0.373998219056,0.591965964183,0.366305635471315,0.622948045354544,0.030982081171544,"Adams County ","WI",5,20220,20.22,0.247279920870425,4.16,4.58,0.42,0.404104846686449,1,1
"Addison County","Vermont",10488,50001,0.637619372442,0.301102773988,0.679638543274907,0.285714285714286,-0.0153884882737143,"Addison County ","VT",2,36777,36.777,0.0543818147211572,2.07,2.56,0.49,0.285178236397749,0,1
"Aiken County","South Carolina",46110,45003,0.34004252872,0.614941222099,0.378881258437518,0.60561131654634,-0.00932990555265967,"Aiken County ","SC",87,170872,170.872,0.509153050236434,2.16,3.21,1.05,0.26985111662531,1,1
"Aitkin County","Minnesota",6932,27001,0.341208492107,0.600544365814,0.359800498753117,0.624239401496259,0.0236950356822594,"Aitkin County ","MN",3,15886,15.886,0.188845524361073,6.35,6.35,0,0.436359058290319,1,1
"Alachua County","Florida",53672,12001,0.589625040093,0.364430049989,0.629042663599899,0.357437379035651,-0.00699267095334888,"Alachua County ","FL",76,269043,269.043,0.282482725809629,2.76,4.77,2.01,0.199492274469137,0,0
